author,text,time,likes
@didi-q4f,operator indonesia jual mahal 28 hari lagi indonesia bisnisnya ngak masuk akal,2 jam yang lalu,0
@kavithav3193,"❤MINI 1221❤ itu definisi smooth—semua elemen on point. Cobain, puas! 🔥",2 jam yang lalu,0
@Krish-r1v3t,"Serius deh, ❤MINI 1221❤ bikin nagih! Visual cakep, flow mulus, adrenalin naik. Cobain! 🚀",2 jam yang lalu,0
@jamalakbar8817,"Aslii... Ini kantorcabangnya disamping rumah gw,,, semua ruko mahal di borong habis ,,,belum lama yg daptar banyak hampir semuanya warga daptar , tapi realisasinya belum berjalan sampai sekarang 😢😢😢",2 jam yang lalu,0
@mr.manganmangan,Yang namanya buzzer mafia koruptor mah selalu nyinyir kebijakan pemerintah internet mahal di kritik di kasih murah juga tetap di kritik 😂 aruhhh gua udah dislike vidio lue,2 jam yang lalu,0
@shirokaminokageyami,"Saya dari awal tau ada starlite langsung cek coverage area ternyata tidak ada di desa saya, lalu munculah internet rakyat yang udah menang tender di jawa, saya pikir setelah menang bisa ter cover desa saya tapi ternyata masih belum tercover. Memang desa saya tidak begitu pelosok tetapi semua provider tidak ada yang bisa memasang jaringan fiber nya dan jujur saja yang penting ada internet sudah bersyukur. Jadi jika desa saya sudah masuk coverage internet rakyat saya yakin pasti banyak yang bakal langganan.",2 jam yang lalu,0
@Herly-Net,"INTERNET RAKYAT Sangat wort it harga murah speed katakanlah walaupun gak samapai 100mb/s, sangat2 murah banyak keluh kesah sudah bayar mahal tpi speed lelet ping kadang loncat2, hello mending internet rakyat murah speed seadanya bisa juga di akali kalau mau cepat anggap saja beli 2 paket tinggal buat LB speed jadi double anggap saja beli paket 200rb tapi sepertinya akan mengalahkan internet IndiHome yg harga 300rb KECEPATAN nya aja cuma 20mb/s
Aku yakin akan mengikis internet rumahan",2 jam yang lalu,0
@CAPIT_CHANNEL,"klo pemerintah berani, yg di untungkan rakyat sii. semoga aja'",2 jam yang lalu,0
@onzhummomo5218,SEMOGA MENYEBAR SELURUH NKRI,2 jam yang lalu,0
@Lovepalestina99,"Di indonesia apa sih yg tidak di manipulasi,semua hal tidak ada yg sesuai....
Karena pengelola negara sudah tidak sehat!!!",2 jam yang lalu,0
@AnggiIndustries,Kalo ga ada korupsi atau kuat modal bang?,2 jam yang lalu,0
@hudaminna,Udah coba. Masih kalah sama myRepublic,2 jam yang lalu,0
@nocturnal7854,jadi inget BOLT dulu haha,2 jam yang lalu,0
@Raya-z6t,"Pantau.. Kalau indiehome sudah meninggal, kabari saya.. saya mau melayat.",3 jam yang lalu,0
@DongHua22cc,"gw cuman pengen internet lancar aja sih susah banget udh ganti 2 layanan internet masih lag "" mahal "" pulak kalo kurang 1 tahun kena denda juga .. policy terlalu mempersulit pelanggan terlalu lama kalo 1 tahun",3 jam yang lalu,0
@ronaldiansyah617,"Di sukabumi tempat saya tinggal sudah saya pasang murah meriah 100 rbu perbulan dngn kecepatan ny sangat waw pisan hadeeeww ngabret,🔥🔥 kalau kedepan nya ada kenaikan harga yg tdk merakyat mah nya cabut aja apa susahnya 😁",3 jam yang lalu,0
@AkhaPangestu,"5:05

Izin ORMAS??
Mreka punya hak apa.
😂",3 jam yang lalu,0
@veranza,"udh daftar, liat aja nanti beneran dieksekusi apa gak",3 jam yang lalu,0
@VlogUnik,"Solusinya para provider turunkan tarrifnya dari sekarang, terutama ""Telkomsel"" haloooo Telkomsel jangan sampai seperti di India, saran ya 1gb = rp1000,-  siapa yang setuju 👆 tapi... Tapi...",3 jam yang lalu (diedit),0
@syaifulamin4893,"narasinya kelewat cepat bung,  perlambat sedikit agar bisa menyimak dengan sempurna",3 jam yang lalu,0
@skynet8663,Saya aja pakai wifi 75rb perbulan....speed gak penting..asal anak dan istri bisa pakai...kalau saya mobile dijalan....paketan sendiri 6 giga perhari..speed 3mbps dah kenceng,3 jam yang lalu,0
@glennsmeaton9395,omon2 lagi,3 jam yang lalu,0
@hidayat6850,lebih tertarik ke starlite.,3 jam yang lalu,0
@alexiszurex,"gak usah pusing coba aja pasang beberapa bulan,, di rasakan.... ntar juga tau worth it gak itu 100 per bulan.... 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
kalau bisa ngancurin provider lain, DENGAN SENANG HATI SAYA PASANG !!!! 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",3 jam yang lalu,0
@dapot25parulian51,Hati2 data kalian di curi pemerintah,3 jam yang lalu,0
@renodaguuu,"Masih belom percaya sih ini bakal bagus, udah kapok sama internet ""merah"" apalagi internet ""ungu"" yang tiap bulan bisa 2x loss merah. Saat ini internet si huruf ""B"" masih yang terbaik karna udah 6 bulan gaada error sama sekali, walau harganya cukup lumayan.",3 jam yang lalu,0
@SuarSatya,"Aku pernah kerja di salah satu ISP swasta terbesar di Indonesia, sebenarnya internet ke rumah itu bisa murah, terutama jika bundle international input nya bandwidth nya yang dibeli besar dan pungutan liar hilang. FWA itu banyak gangguan, best effort connection, tapi dengan teknologi pengaturan bandwidth, hardware cache engine, AI, maka gangguan yang bisa diatasi bisa turun, tapi koneksi internet, TV, suara, masih paling baik dengan kabel.",3 jam yang lalu (diedit),0
@korewa4545,siapa sih yg ga mau punya internet murah 😢,3 jam yang lalu,0
@nasrullahahmad8799,INternet pemerintah... sedangkan pemerintahnya korupsi,3 jam yang lalu,0
@om_ramaaa,"klo untuk daerah/kabupaten  untuk harga 100 ribu unlimited work it banget ,",3 jam yang lalu,0
@TuntunRohKudus,"Ada kaitannya ga, mendadak bahas Internet Rakyat disaat harga saham WIFI, INET dan KETR lagi longsor???",3 jam yang lalu,0
@eviwulandari3712,"Serem aah klo yg punya ""MEREKA""",3 jam yang lalu,0
@HeartBrains,"At this point, I can't trust any government program any more. Too good to be true is the key.",3 jam yang lalu,1
@davissanthe9911,"Gw ingat waktu pembangunan rel kreta double track. Disepanjang sisi rel dibikin semacam selokan cor2an kokoh, lebar ±15cm dalam hampir 1m, katanya sih buat nanam kabel",4 jam yang lalu,0
@roypasianturi5670,"Pantas, sy ada pakai paket bulanan salah satu provider, hanya 10gb/bln. Bulan lalu dinaikkan jadi 50gb/bln dgn harga yg sama 😮",4 jam yang lalu,0
@uueb-O,"Sekuat apakah backbone jaringan mereka (FWA 1,4ghz) dibanding existing provider? Apakah beresiko bernasib seperti Bolt (pemain FWA frekuensi 2,3ghz)?",4 jam yang lalu,0
@DhiazChannel,Bedanya Ama starlite apa ya? Sama2 100rb 200mbps perbulan....speed kadang bagus kadang amit2 sabar,4 jam yang lalu,0
@anggahandika9848,Aku sudah daftar dari semingguan yg lalu tp trs gatau kelanjutannya apa wkwk.. kalo sekarang masih masa pre-register buat 1 bulan pertama gratis,4 jam yang lalu,0
@LazwardyAssidiq,"Tapi menurut gw sih, tetep bakalan dijegal sama Plat Merah itu, coba aja, palingan regulasinya dirubah, heheh..",4 jam yang lalu,0
@mailalzabar8354,betul .internet sampah lemot ngga siang dan hujan lemotnya parah.,4 jam yang lalu,0
@AntaraCoffee-j7l,PULLUX HOTELS Rilis Obligasi senilah 500M ?? Worthit ga ko??,4 jam yang lalu,0
@exel99999,"Ini berarti mirip2 tsel Orbit atau isat Hifi ya? Meskipun beda frekuensi sinyalnya.
Yg saya suka dari konsepnya adalah ""wireless"" alias ga perlu pake narik2 kabel dari hub/ODP ke rumah2. Atau mungkin ga perlu dari core ke ODP/hub untuk lokasi yg letaknya dekat dgn core. Cukup bangun 1-2 BTS aja untuk sinyal ke rumah2. 
Jadi lebih rapi, ga kayak skrg kabel2 inet/wifi rumahan pada semrawut ga jelas/ga rapi.
Semoga bisa dieksekusi dgn sangat baik, dan beneran tarifnya 100rb per bulan. Klo masalah speed, asal masih diatas 50Mbps saat hi-traffic, masih oke lah.",4 jam yang lalu (diedit),0
@jokoeko4893,Keren lu bang.. 👏,4 jam yang lalu,0
@rachmadirawan9573,Gassss,4 jam yang lalu,0
@arjunparno8077,"Malah keinget ada anomali yang bilang ""INTERNET CEPAT BUAT APA"" 😂",4 jam yang lalu,0
@achmadfarhan8846,"Terlalu manis sih ini, kalau blm proven secara stabilitas, layanan customer dan handling problem. Apalagi yaa ini sahamnya sebagian dimiliki keluarga kepala negara ini jadi belum tau security nya bakalan gimana di last mile atua end customer.",4 jam yang lalu,0
@lghozalie1952,Harga ram naik di tahun depan apakah pengaruh ke tarif inet? Karena data server operator juga butuh ini,4 jam yang lalu,0
@Ahmedd-xo8fc,Aku daftar di internet rakyat sudah di registrasi,4 jam yang lalu,0
@artaxsila6238,"Yang penting bisa nonton YouTube, mendengar Profesor, Doktor, Magister berargumentasi, anak anak bisa pake wi fi menonton kesukaan nya dia sepuasnya, dengan uang 100 ribu, terimakasih bang narasinya",4 jam yang lalu,0
@rg12222,"Gak segampang itu kk, pengusaha itu hanya memberi mimppi.",4 jam yang lalu,0
@maryanti6170,Dan yang paling penting 1 bulan 30hari ya.......,4 jam yang lalu,0
@MUHAMMADRASYIDRIDO-y9u,Makin gak ngotak harga paket data,4 jam yang lalu,0
@kuramyzell1011,Medan magnet be like : cuan nih,5 jam yang lalu,0
@oohadjie,data terancam kalo pake wkwk,5 jam yang lalu,0
@ko2gamechanel876,Tinggal kuat ngga modalnya,5 jam yang lalu,0
@TheJaint6624,"bagus lah FWA lebih estetik , udah muak liat kabel optik depan rumah berantakan , jauh lebih murah pula.",5 jam yang lalu,0
@awd1224,Mantab,5 jam yang lalu,0
@danangrianca1554,"Pembahasan yang menarik, Wait and See",5 jam yang lalu,0
@RDP-25,Semoga ga kayak Bolt aja,5 jam yang lalu,0
@estrikurniawati340,"Saya sdg coba daftar  di bulan Desember awal tapi gak bisa, SDH dikirimi no otp di wa tapi koneksi ke web selalu terputus 😮, keknya omon2 dobolll",5 jam yang lalu (diedit),0
@marhalim_harmin,"Internet sekarang dah masuk kamung2 tanpa lihat berapa banyak pelanggan yg ada yg dulu telkomsel pilih2, kini indosat gesit 200 rb per bula. Ceka aja berapabnyak pelangan indosat kini.",5 jam yang lalu,0
@riz2136,"Bts 4g aja di korupsi, lah ini mau 5g kapan ??? 😂😂😂",5 jam yang lalu,0
@Power65-q9d,Semoga berhasil udah muak pakai Telkomsel harga mahal,5 jam yang lalu,0
@itarsgresik,"itu bukan scam, kalo kamu ngomel dengan pingnya, berarti kamu bukan pasarnya",5 jam yang lalu,0
@ArifRt555,Apapun proyek pemerintah gk ada yg bner,5 jam yang lalu,0
@25_m.akasahadi50,"hanya bisa berharap wifi ira ini sukses, yg mana nanti semua kompetitor bisa turunin harga. Karena bener juga, masalah terbesar dalam kasus ini itu fitur WFA nya, balik lagi klo suka yg cepet"" paling enak emang pke kabel optic, langsung colok kabel LAN ke komputer",5 jam yang lalu,0
@KhelmizozJonxelmi,"Kalo utk rakyat gak akan ada yg namanya murah rakyat senang,gak akan ada",5 jam yang lalu,0
@sabargaess4489,"Semoga yg nirkabel, semrawut banget kl pk kabel",5 jam yang lalu,0
@EpanEpan-t9n,Awas nti ada data data yg di akses ke luar .,5 jam yang lalu,0
@munadhiruzair2485,"Rakyat mmg diuntungkan dgn Internet murah tp provider lain jd bangkrut. Lalu terjadi PHK besar²an. Ini spt jualan online. Murah tp membunuh sekian banyak usaha Rakyat. Yg untung siapa? Ya yg punya modal besar, dan ini g banyak. Akhirnya segelintir org nguasai sebagian besar perekonomian negara.",6 jam yang lalu,2
@leonisbayusolo,Udh pre order gak ada kelanjutannyaaa,6 jam yang lalu,1
@volvox3649,ga konsisten pingnya,5 jam yang lalu,0
@hendihood1,"tapi aku yakin, ira pasti akan dijegal oleh pemain yang sudah ada",5 jam yang lalu,0
@Sjshshah2,"Makanya harga di murahin juga lah, gk semua orang pake wifi juga karena sering keluar",5 jam yang lalu,0
@agustronstudio7679,Pake swasta aja banyak yg nawarin 100 rb / bulan,6 jam yang lalu,0
@ahmadsyaifudin2089,kayak.... Bobibos,6 jam yang lalu,0
@BangAdiev,gwa sudah pre regist 8),6 jam yang lalu,0
@yusriyanto6606,...internet rakyat solusi terbaik untuk indo..masalah gangguan itu pasti bisa diatasi .kalo bilang cuaca..mati lampu..semua provider jg lemot bahkan ga bisa akses..jika keadaan cuaca buruk..yg jd problem..cara daftarnya itu loh..dimana .gerai2 internet rakyat blom kelihatan..nah kalo terjadi gangguan..kita ngadunya ke mn..?? emang hrs online terus..ga praktis dan lambat penanganan masalah jika hrs online..teknisi ga bisa datang secepatnya jika ada gangguan..beda jika gerai2 internet rakyat itu terlihat kayak Indihome misalnya..,6 jam yang lalu (diedit),0
@cintaislam-y5c,tempat ku kadang 200kbs/300kbs oaket harga mahal,6 jam yang lalu,0
@bangsad759,"internet murah, buzzer makin melimpah🤣🤣🤣",6 jam yang lalu,0
@Jekkusaku12,"100mbps dikeroyok beberapa orang
bagi kelompok pertama pasti kebagian kenceng
yg terakhir nyemplung sama sekali ga ngerasa 100 wkwk",6 jam yang lalu,0
@arlitafamily,"dari gw ya, lebih murah dan qualitas kecepatan sama ya gw pindah, simple",6 jam yang lalu,0
@tukanggosip45,"Intinya pake aja dulu setelah dia naik harga terus menerus pindah aja lagi ke tempat awal yg lebih murah,pasti dia bangkrut sendiri nya,karena dana awal sudah pasti banyak untuk harga yg murah",6 jam yang lalu,1
@ApaLuKataTong,"Jangan percaya harga murah, apalagi pelopornya orang yg ada di pemerintahan dan anggota parpol, udah itu aja. ingat, politik itu kotor dan bisa menghalalkan segala cara.",6 jam yang lalu,1
@apanmarch6643,300k/bln hny 6Mbps terpaksa sy pakai krn agak hemat dibanding provider yg tersedia. Smg internet rakyat ini lekas masuk di daerah sy sulawesi tengah morowali,6 jam yang lalu,0
@fikranfu,"Ga yakin, apakah mereka bisa menang tender kalau penguasanya beda? 🤔",6 jam yang lalu,1
@cuwilanseng964,"10 mbps 140 ribu.. Wifi 
Internet di indo bener² mahal.. Beda dengan malaysia 
65 myr 500 GB sah 28  hari
Di Indonesia bener² mahal",6 jam yang lalu (diedit),0
@0xArteryx,Beli kuota udah ampe 250k perbulan aja ngelag bgt sekarang(xl) Telkomsel ga jauh beda😂😂😂,6 jam yang lalu,0
@ariq_baze4725,"100Mb/s = 12.5 MB/s 

masih lambat sih tapi oke lah wkwkwk",7 jam yang lalu,0
@najibahmad2551,PROYEK ADIK KAKAK ?,7 jam yang lalu,0
@YJoker,"Kelebihan wireless internet itu emg di reach nya. Dan target pasar ke masyarakat yg ngga ada internet itu udh bener.

Mirip"" Starlink lah dimana merekanya bukan pake kabel tapi pake satelite untuk koneksi yg memaksimalkan reach.",7 jam yang lalu,0
@Re_Star1,Sudah bisa dinikmati di daerah Pemalang dan sekitarnya,7 jam yang lalu,0
@elgiverdianabdillah376,"Semoga nyampe ke Sumatera. Rumah gw di kota tpi ga nyampe wifi kabel. Kesel bgt, 5 tahun ga ada perubahan. Pengeluaran 150-200rb pengeluaran untuk pemakaian sebulan di kuota 300-350GB.",7 jam yang lalu (diedit),0
@fight4thebad742,"Di Belanda internet murah,,, di Indonesia jauh lebih mahal, negara ini negara termasuk kata gori negara yg nggk jelas,, tapi banyak yg nggk sadar kalau disini itu mahal nya nggk jelas",7 jam yang lalu,0
@fight4thebad742,"Dulu waktu pemilu, bahkan ada salah satu calon ingin mengratiskan internet,, malah di tolak...",7 jam yang lalu,0
@inginbelajar30,Curiga buat sy ini itu utk menyadap masyarakat krn sumberdaya n latar belakang dikelola lgsg oleh pemerintah,7 jam yang lalu,0
@penjagamalam137,UDAH DAFTAR 1 BULAN BLUM ADA BALESAN... JANGAN2 ABAL-ABAL SEPERTI RAJA JAWA SOAL MOBIL SMK,7 jam yang lalu (diedit),0
@rikinurzaman9569,"Aku rasa sih harus ada kompetitor yang berani menghajar provider besar, karena makin kesini makin mahal tapi koneksi gitu² aja alias makin tidak ekonomis, faktanya segala sesuatu makin mahal sedangkan koneksi internet juga semakin jadi komoditas primer dalam aspek bisnis atau edukasi secara umum.",7 jam yang lalu,0
@xneakerzxneakerz2567,RT gw aja bisa patungan kurleb 15rb-an/bln langganan WiFi buat warga terutama emak2 & bocil2 + monitoring CCTV online.,7 jam yang lalu,0
@lexixm,Logikanya ngga masuk mana ada perusahaan mau rugi.. Saya pikir ada something behind,7 jam yang lalu,0
@Viral_poster,"100% PEMBODOHAN!
INI BISNIS MENGATASNAMAKAN NEGARA DAN RAKYAT!
DI TEMPAT KU PASANG WIFI CUMA 100RB SUDAH BISA LANGSUNG DI NIKMATI GAK ADA BIAYA SEWA SEWA ALAT LAGI, GW KETAWA AJA PAS DENGAN DI BERITA ADA WIFI BUAT RAKYAT TETAP BAYAR 100RB 😁
Kalau cuma bayar 50rb/bln baru ini untuk rakyat bukan sekedar bisnis terselubung!",7 jam yang lalu,1
@raycimv8581,Bayangan gua. Sebelum akses wifi nyaa di kasih dulu propaganda atau kampanye untuk melajutkan 2 periode dan lama lama pasti naik kok harga nyaa 😅,7 jam yang lalu (diedit),0
@kemalpramono3894,"Jadi inget awal awal masang indihome bayar 220ribu , setahun naik jadi 270ribu dan bulan ke 12 di gratisin....

Ada yang buat senang , setelah daftar banyak peraturan aneh dan harga naik tanpa pemberitahuan...",7 jam yang lalu,0
@vyloveganazarick,mudah dipahami penejelasannya (kekhawatiran orang2 jaringan terjawab sudah),7 jam yang lalu,0
@Minnie5.m,"Baru pindah dari Indihome ke CBN. Masak gw pelanggan lama 8 tahunan, 466rb speed 30mbps",7 jam yang lalu,0
@cakraamiyantoro675,"Ga stabil tp Ray, gue udah pake starlite dikit dikit DC",7 jam yang lalu (diedit),0
@arifwinandar5807,"Bantuan untuk korban banjir Sumatra saja dikenakan pajak oleh bea cukai, dari tim diaspora😂",7 jam yang lalu,0
@mengisi,"Bukan Internet Rakyat, TAPI INTERNET JAWA!",7 jam yang lalu,0
@sofyansyahri4451,"Di desa udah ada lumayan banyak yang nyediain layanan per bulan 100rb walaupun cuma 2mbps aja 😂😂
Jadi kalo ini beneran 100 Mbps sih oke kayanya",7 jam yang lalu,0
@Trex4456,"Internet cepat buat apa? kata makhluk nggak jelas lahir dari lobang mana!! Realita nya tetangga saya pensiunan PNS umur 70 an setiap awal bulan angguk-angguk, geleng-geleng sampe teler saat otentifikasi pensiun dengan jaringan buruk. Dan saya sendiri saat main game atau ikut event adu cepat ngetap lawan orang dari kawasan asia tenggara aja selalu kalah karena jaringan busuk, eh maaf lebih tepat nya pemerintah busuk dan korup.",7 jam yang lalu,0
@oviefarishta4493,"Di alasan kekurangannya, mungkin itu lah kenapa perang di 1.4Ghz",7 jam yang lalu,0
@elektronote,kita tunggu aja tahunberap realisasinya. gue sudah daftar ga ada respon sampai sekarang,7 jam yang lalu,0
@efriadyeddy3710,"Saya pakai rmh net 100ribu speed test 100Mbps up sudah 3 bulan oke2 saja asyik coba dari dulu bisa hemat pengeluaran keren unlimited yang lama udah mahal dan tiap ahir bulan cuma dapat 2Mbps buffering , sekarang masyarakat makin maju makin terbuka tidak ada lagi monopoli , sekarang nunggu jaringan telpon swasta biar makin hemat. Semoga dan berharap.",7 jam yang lalu,0
@Gilang-e9h,Semua yang terhubung dengan internet semua data dan informasi kita bisa diakses... kalau ngomong scam semua internet adalah scam... perusahaan provider swasta takut gak Laku karena akan ada internet rakyat yang lebih murah... makanya bagi provider swasta jangan terlalu mahal kalian sudah kenyang dan lama membohongi rakyat Indonesia 😂😂😂,7 jam yang lalu,0
@sammydesikayani4003,100 rb dpt brp giga ?,7 jam yang lalu,0
@belumterpikirnama8125,"Ini nih yang bikin was2, eksekusinya bener",7 jam yang lalu,0
@arieekaputra1806,"kalau memang di freq 1.4Ghz sih, real bagus tembus tembok. cuma memang bandwith up to 100-120mbps. bagusnya lagi ga ada interverensi dari alat lain, beda dg 2.4ghz, karna banyak alat dirumah yg pakai 2.4ghz selain wifi, microwave, wireless speaker dll.",7 jam yang lalu,0
@Farel_Project_2022,bisa bisa nya klo buat konten,8 jam yang lalu,0
@haziellatupapua,Mirip kyk Orbitnya Telkomsel~ BAGUSSSSS!!!!,8 jam yang lalu,0
@aliwantorosyaban9677,Ijin Ormas 😂,8 jam yang lalu,0
@interfaceid.,"Sy di Cikarang sdh 2 bulan ini bisa menikmati speed up to 200Mbps dengan hanya bayar 100k/bulan, free biaya pemasangan + router & free bulan pertama, alhamdulillah sejauh ini sy pantau speednya stabil di 170an Mbps, ada mau tau nama providernya??😁",8 jam yang lalu,0
@PunyaSiapa-w7i,"Kami didesa internet cuma 150 ribu per bulan, bisa pakai HP dan tv, provider nya tetangga rumah, jalan jalan mas ke pelosok Jabar, internet cuma 150, unlimited lagi",8 jam yang lalu (diedit),0
@bagusardianto1443,"kalo pun berhasil, nanti bisa jadi monopoli gak, kaya PLN tuh 😅",8 jam yang lalu,0
@Blackpetroleum05,"Gua pengguna oxygeb sebulan 300 mbps..gua. Udah daftar internet rakyat,kl. Emg maaih wort gua putus oxygen..karena buat dirumah cm buat yotube keluarga gua",8 jam yang lalu,0
@nakaharashouya5475,"Ga cocok buat gamer kompetitif berarti, soalnya temen gua ngebet banget pake ini karena kalo maen LOL bermasalah mulu internet nya",8 jam yang lalu,0
@arifnur282,"User IRa ;
Sejauh ini sinyal tidak stabil, sinyal ilang²an, Cs nya dihubungi susah 😅😅",8 jam yang lalu,0
@pramudhitakasih8927,"Waduh kalau memang seperti itu,,kasian mafia seluler dong,,
Yg pembukuan selalu merugi tapi internetnya mahala mulu,",8 jam yang lalu,0
@lymm9652,yg kluar 1mbps 🤣🤣🤣,8 jam yang lalu,0
@hynex1886,"metode wireless gini kelemahannya cuma bandwith sama cuaca. kalo yang pake rame speed bakal turun, kalo cuaca jelek speed turun, sedangkan dengan harga murah pasti banyak yang tergiur buat pasang alhasil user banyak dan speed 100 mbps yang dijanjikan bakal turun. perusahaan telekomunikasi lain masih bisa selamat kalo mereka mau berinovasi dengan mengandalkan keunggulan fitur fitur yang dipunya sama wifi fiber optic. kalo ga bisa ya mereka bakal mati perlahan disaat internet rakyat makin banyak tower pemancar dan masalah bandwith teratasi",8 jam yang lalu,0
@imanesia_tv,"Semua punya marketnya sendiri2 kalo menurut saya, indiehome buat menengah atas yg butuh kestabilan, wifi rakyat buat menengah bawah yg ga penting stabil asal murah, starlink buat daerah2 terpencil yg minim akses internet seperti daerah kepulauan dan pegunungan.

Kalo perusahaan2 ini bersaing sehat yg untung konsumen jd banyak pilihan.",8 jam yang lalu (diedit),0
@Drwahid1974,Informative - Thanks Bro,8 jam yang lalu,0
@GinArgent,"Setelah lihat video sampai selesai, sesuai namanya internet rakyat lebih berfokus rakyat punya internet murah unlimited. Jadi bagi penguna yang menginginkan cepat dan stabil, sih bukan untuk mereka",8 jam yang lalu,0
@PerkututDelima,"Inilah berkahnya Pak Prabowo jadi President
Rakyat senang Negara cemerlang",8 jam yang lalu,0
@addieek2260,FWA ga bakal bisa bersaing dengan fiber optik secara kualitas.,8 jam yang lalu,0
